id,cluster,observacio,name,elegir,geometry
5,43,NA,1,derecha,"c(-89.8354541084636, 14.6459867554779)"
7,43,NA,2,izquierda,"c(-89.8362641209753, 14.6459591606732)"
11,43,NA,3,izquierda,"c(-89.8362641209753, 14.6463289307679)"
39,43,NA,4,izquierda,"c(-89.8386542283162, 14.6475265400772)"
45,43,NA,5,izquierda,"c(-89.8375475915044, 14.6473940859132)"
49,43,NA,6,izquierda,"c(-89.8369429342773, 14.6477252211732)"
52,43,NA,7,derecha,"c(-89.837148289562, 14.648216404221)"
68,43,NA,8,derecha,"c(-89.8346326873249, 14.6480508370245)"
71,43,NA,9,derecha,"c(-89.8344444449806, 14.6481391395449)"
87,43,NA,10,izquierda,"c(-89.8388538792874, 14.6483323011842)"
92,43,NA,11,derecha,"c(-89.8383290824488, 14.6496402769487)"
93,43,NA,12,derecha,"c(-89.8379069632525, 14.6495685316449)"
99,43,NA,13,izquierda,"c(-89.8370684291735, 14.6489890494846)"
115,43,NA,14,izquierda,"c(-89.8371654025025, 14.6496844278932)"
119,43,NA,15,derecha,"c(-89.8372566715179, 14.6506281522047)"
145,43,NA,16,derecha,"c(-89.8354541084637, 14.6506005579842)"
152,43,NA,17,izquierda,"c(-89.8372167413237, 14.6523831374875)"
153,43,NA,18,izquierda,"c(-89.8373650534737, 14.6522562050612)"
155,43,NA,19,derecha,"c(-89.8371596981891, 14.6512848936259)"
162,43,NA,20,derecha,"c(-89.8378271028642, 14.6514780524929)"
3,74,NA,1,derecha,"c(-89.8553477325723, 14.7101346837143)"
8,74,NA,2,derecha,"c(-89.8547131289682, 14.7102036503448)"
10,74,NA,3,izquierda,"c(-89.8533726179841, 14.7106496340288)"
26,74,NA,4,izquierda,"c(-89.8507224943187, 14.7105990586053)"
36,74,NA,5,izquierda,"c(-89.8502043535482, 14.7097185845816)"
42,74,NA,6,izquierda,"c(-89.8468245545776, 14.7091438607179)"
45,74,NA,7,derecha,"c(-89.8478447927691, 14.7071823167745)"
82,74,NA,8,izquierda,"c(-89.8512816347603, 14.7045144048087)"
83,74,NA,9,izquierda,"c(-89.8504901628495, 14.7043994574167)"
87,74,NA,10,derecha,"c(-89.8515668498634, 14.7045902700544)"
105,74,NA,11,izquierda,"c(-89.8477616050307, 14.703374124002)"
119,74,NA,12,izquierda,"c(-89.8532234742531, 14.7015820779189)"
125,74,NA,13,izquierda,"c(-89.8521040049738, 14.7029108832233)"
126,74,NA,14,derecha,"c(-89.8537757370211, 14.7003351062763)"
149,74,NA,15,izquierda,"c(-89.8523613939491, 14.7068360364119)"
161,74,NA,16,izquierda,"c(-89.8513987929764, 14.7085740151206)"
163,74,NA,17,izquierda,"c(-89.8529437081176, 14.70780388076)"
164,74,NA,18,derecha,"c(-89.8533453860544, 14.7077739948942)"
165,74,NA,19,izquierda,"c(-89.8541416115503, 14.7084314829961)"
179,74,NA,20,izquierda,"c(-89.8539860722693, 14.7017598377976)"
10,90,NA,1,derecha,"c(-89.8904457339157, 14.7653004903569)"
26,90,NA,2,izquierda,"c(-89.8932921863336, 14.7654383889415)"
43,90,NA,3,derecha,"c(-89.8935203588721, 14.7664533198334)"
47,90,NA,4,izquierda,"c(-89.8942790325627, 14.7667787586269)"
57,90,NA,5,derecha,"c(-89.8925106953892, 14.7675123731031)"
63,90,NA,6,izquierda,"c(-89.891928855416, 14.7673634440488)"
92,90,NA,7,derecha,"c(-89.898523041779, 14.7663760969973)"
133,90,NA,8,derecha,"c(-89.8928529541972, 14.7712355662925)"
138,90,NA,9,derecha,"c(-89.8919174467893, 14.7727413729767)"
141,90,NA,10,izquierda,"c(-89.8928643628241, 14.7718974606258)"
145,90,NA,11,derecha,"c(-89.8933777510358, 14.7718257555038)"
148,90,NA,12,izquierda,"c(-89.8938226874859, 14.7720849969871)"
151,90,NA,13,derecha,"c(-89.8935431761262, 14.7721015443053)"
161,90,NA,14,izquierda,"c(-89.895870536019, 14.7715499663522)"
184,90,NA,15,izquierda,"c(-89.8948950984168, 14.7734694515867)"
196,90,NA,16,izquierda,"c(-89.8974620394751, 14.7721291231662)"
216,90,NA,17,derecha,"c(-89.8935317674993, 14.7740541190072)"
221,90,NA,18,izquierda,"c(-89.8932807777069, 14.773739722571)"
223,90,NA,19,izquierda,"c(-89.89326936908, 14.7735742505797)"
226,90,NA,20,derecha,"c(-89.8934404984839, 14.7734859987995)"
202,103,NA,1,izquierda,"c(-89.8326610620067, 14.6461932233053)"
211,103,NA,2,derecha,"c(-89.8325422223805, 14.6468141036675)"
217,103,NA,3,izquierda,"c(-89.8304720360912, 14.6471544373422)"
226,103,NA,4,derecha,"c(-89.8332695208931, 14.6472717143644)"
229,103,NA,5,izquierda,"c(-89.8331934635323, 14.647354498107)"
235,103,NA,6,derecha,"c(-89.833069870321, 14.6478006099597)"
